ID,Name,Latitude,Longitude,Address,Link,IMAX With Laser,Stadium Seating,Handicap Accessible,Assistive Listening Devices Available,Reserved Seating,Ticketing Kiosk,Cafe
2723,Regal Hacienda Crossings & IMAX,37.706120000000,-121.886600000000,"5000 Dublin Boulevard, Dublin, CA 94568",https://imax.com/theatres/regal-hacienda-crossings-imax,true,true,true,true,true,true,true
2724,Regal Parkway Plaza & IMAX,32.807150000000,-116.967400000000,"405 Parkway Plaza, El Cajon, CA 92020",https://imax.com/theatres/regal-parkway-plaza-imax,false,true,true,true,true,true,false
2725,Regal Rancho Mirage & IMAX,33.800150000000,-116.392100000000,"72-777 Dinah Shore Drive, Rancho Mirage, CA 92270",https://imax.com/theatres/regal-rancho-mirage-imax,false,true,true,true,true,true,false
2726,Regal Simi Valley Civic Center & IMAX,34.285560000000,-118.717900000000,"2751 Tapo Canyon Road, Simi Valley, CA 93063",https://imax.com/theatres/regal-simi-valley-civic-center-imax,false,true,true,true,false,true,false
2727,Regal Stockton City Centre & IMAX,37.954950000000,-121.290200000000,"222 North El Dorado Street, Stockton, CA 95202",https://imax.com/theatres/regal-stockton-city-centre-imax,false,true,true,true,false,true,true
2728,TCL Chinese Theatres IMAX,34.101680000000,-118.340400000000,"6925 Hollywood Boulevard, Hollywood, CA 90028",https://imax.com/theatres/tcl-chinese-theatres-imax,true,true,false,false,true,false,false
2729,Pathe Balexert & IMAX,46.219110000000,6.114470000000,"avenue Louis-Casaï 27, Genève, Switzerland 1211",https://imax.com/theatres/pathe-balexert-imax,false,true,false,false,false,false,false
2730,Cine Hoyts & IMAX,-33.453390000000,-70.569370000000,"Av. Larrain 5862, Ñuñoa, Santiago, Chile 7580244",https://imax.com/theatres/cine-hoyts-imax,false,true,false,false,false,false,false
2731,Fuyang Wanda & IMAX,32.879490000000,115.829530000000,"4F, South Yingzhou Rd, East Renmin Rd No. 531, Fuyang, China 236000",https://imax.com/theatres/fuyang-wanda-imax,false,true,false,false,false,false,false
2732,Hefei Wanda Plaza IMAX,31.795360000000,117.305160000000,"4F Entertainment Building, Wanda Plaza , Baohe District, Hefei, China 230011",https://imax.com/theatres/hefei-wanda-plaza-imax,false,true,false,false,false,false,false
2733,Hefei Swan Lake Wanda & IMAX,31.819140000000,177.222290000000,"4F, Wanda Plaza, No.3818 2nd Ring S, Zhengwu District, Hefei, China 230071",https://imax.com/theatres/hefei-swan-lake-wanda-imax,false,true,false,false,false,false,false
2734,Ma'anshan Wanda & IMAX,31.659250000000,118.502250000000,"4F Taibai Avenue No.3200 - Ma'anshan Wanda Plaza - Yushan District, Ma'anshan, AH, China 243000",https://imax.com/theatres/maanshan-wanda-imax,false,true,false,false,false,false,false
2735,Tongling Wanda & IMAX,30.943980000000,117.813370000000,"3F Building 3 - BeiDouXing City - TianJingHu Community - TongShan District, Tongling, AH, China 244000",https://imax.com/theatres/tongling-wanda-imax,false,true,false,false,false,false,false
2736,Bengbu Wanda & IMAX,32.928750000000,117.368970000000,"4th Fl., No. 4399 Donghai St., Bengshan District, Bengbu, AH, China 233040",https://imax.com/theatres/bengbu-wanda-imax,false,true,false,false,false,false,false
2737,Wuhu Jinghu Wanda & IMAX,31.337470000000,118.406760000000,"4F Wanda Plaza - Zheshan Road East - Jinghu District, Wuhu, AH, China 214000",https://imax.com/theatres/wuhu-jinghu-wanda-imax,false,true,false,false,false,false,false
2738,Beijing CBD Wanda & IMAX,39.909320000000,116.471520000000,"3F, No.93, Jianguo Road, Wanda Plaza, Chaoyang District, Beijing, China 100022",https://imax.com/theatres/beijing-cbd-wanda-imax,false,true,false,false,false,false,false
2739,Beijing Huiju Jinyi & IMAX,39.737150000000,116.337370000000,"3rd Fl, West Hongfu Rd, IKEA Shopping Mall, Xihongmen, Daxing District, Beijing, China 100162",https://imax.com/theatres/beijing-huiju-jinyi-imax,false,true,false,false,false,false,false
2740,Beijing Jinyi Cinema & IMAX,39.923520000000,116.518010000000,"8th floor, Joy City, No.101, Chaoyang North Road, Beijing, China 100020",https://imax.com/theatres/beijing-jinyi-cinema-imax,false,true,false,false,false,false,false
2741,Beijing Jinyuan Stellar IMAX,39.958280000000,116.288810000000,"5F, Jinyuan Yansha Mall, No. 1 Yuanda Road, Haidian District , Beijing, China 100097",https://imax.com/theatres/beijing-jinyuan-stellar-imax,false,true,false,false,false,false,false
2742,Beijing Shijingshan Wanda & IMAX,39.905600000000,116.226210000000,"3F, No.18, Shijingshan yi Road, Wanda Plaza, Shijingshan District, Beijing, China 100022",https://imax.com/theatres/beijing-shijingshan-wanda-imax,false,true,false,false,false,false,false
2743,Beijing Tiantongyuan Wanda & IMAX,40.059410000000,116.414690000000,"5F, Longde Plaza, No.186, Litang Road, Changping District, Beijing, China 102218",https://imax.com/theatres/beijing-tiantongyuan-wanda-imax,false,true,false,false,false,false,false
2744,Beijing Times Paradise Walk Lumiere & IMAX,39.924680000000,116.591370000000,"5F-09, Times Paradise Walk East District, North Chaoyang Road, Chaoyang Distrct, Beijing, China 100024",https://imax.com/theatres/beijing-times-paradise-walk-lumiere-imax,false,true,false,false,false,false,false
2745,Beijing Tongzhou Wanda & IMAX,39.906500000000,116.642820000000,"5th Fl, West Xinhua Street No. 25, Tongzhou Wanda Plaza Building 1, Tongzhou District, Beijing, China 101100",https://imax.com/theatres/beijing-tongzhou-wanda-imax,false,true,false,false,false,false,false
2746,Beijing U-Town Bona & IMAX,39.921840000000,116.440360000000,"North Sanfeng Lane, Chaowai Street, No.2, Chaoyang District, Beijing, China 100020",https://imax.com/theatres/beijing-u-town-bona-imax,false,true,false,false,false,false,false
2747,Beijing Yangqiao Huayi Brothers & IMAX,39.850720000000,116.392340000000,"Intime City, East Majiabao Rd No.101, Building 10, Fengtai District, Beijing, China 100071",https://imax.com/theatres/beijing-yangqiao-huayi-brothers-imax,false,true,false,false,false,false,false
2748,"IMAX 3D, China Science & Technology Museum",39.853210000000,116.360860000000,"No. 5 Beichen East Road, Chaoyang District, Beijing, China 100012",https://imax.com/theatres/imax-3d-china-science-technology-museum,false,true,false,false,false,false,false
2749,Beijing UME & IMAX,39.967370000000,116.325900000000,"No.44, Xueyuan South Road, Haidian District, Beijing, China 100086",https://imax.com/theatres/beijing-ume-imax,false,true,false,false,false,false,false
2750,Chongqing Broadway & IMAX,29.522800000000,106.525450000000,"5th Floor, No. 49 Xiejiawan Zheng Street, Jiulongpo District, Chongqing, China 400039",https://imax.com/theatres/chongqing-broadway-imax,false,true,false,false,false,false,false
2751,Chongqing College Town Cross Cinemas & IMAX,29.586260000000,106.311850000000,"4F Taipei Life Plaza - Middle College Town Road - Shapingba District, Chongqing, China 401331",https://imax.com/theatres/chongqing-college-town-cross-cinemas-imax,false,true,false,false,false,false,false
2752,Chongqing Dadukou Wanda & IMAX,29.478980000000,106.474960000000,"4F, New Tin Chok Plaza, No. 1099, Songqing Road, Daduhe District, Chongqing, China 400084",https://imax.com/theatres/chongqing-dadukou-wanda-imax,false,true,false,false,false,false,false
2755,Chongqing Baiyi Stellar & IMAX,29.555140000000,106.575950000000,"7th Floor, No. 250 Bayi Road, Yuzhong District, Chongqing, China 400000",https://imax.com/theatres/chongqing-baiyi-stellar-imax,false,true,false,false,false,false,false
2757,Fuqing Wanda & IMAX,25.723810000000,119.355090000000,"4th Floor, Wanda Plaza, No.105 Qingchang Avenue, Fuqing, China 350000",https://imax.com/theatres/fuqing-wanda-imax,false,true,false,false,false,false,false
2758,Fuzhou Cangshan Wanda & IMAX,26.027050000000,119.246050000000,"4F, No.276, Pushang Avenue, Wanda Plaza, Cangshan District, Fuzhou, China 350000",https://imax.com/theatres/fuzhou-cangshan-wanda-imax,false,true,false,false,false,false,false
2759,Fuzhou Powerlong Plaza & IMAX,26.062670000000,119.291140000000,"5F, Powerlong Plaza, No.193 Gongye Rd, Taijiang District, Fuzhou, China 350002",https://imax.com/theatres/fuzhou-powerlong-plaza-imax,false,true,false,false,false,false,false
2760,Fuzhou Wanda & IMAX,26.052520000000,119.342940000000,"4F/Area A Wanda Plaza - Financial Street - 8 Ao Jiang Road - Taijiang District, Fuzhou, China 350000",https://imax.com/theatres/fuzhou-wanda-imax,false,true,false,false,false,false,false
2763,Putian Wanda & IMAX,25.420000000000,118.997230000000,"4F Wanda Plaza - Building 2 - 8 Lihua East Avenue / Xialin Street - Chengxiang District, Putian, FJ, China 351100",https://imax.com/theatres/putian-wanda-imax,false,true,false,false,false,false,false
2764,Quanzhou Wanda & IMAX,24.884520000000,118.596500000000,"4F Wanda Plaza - Baozhou Road - Fenze District, Quanzhou, FJ, China 36200",https://imax.com/theatres/quanzhou-wanda-imax,false,true,false,false,false,false,false
2765,Jinjiang Wanda & IMAX,24.777230000000,118.566360000000,"4F - Block 2 - Wanda Plaza - 888 Century Avenue, Jinjiang, FJ, China 510623",https://imax.com/theatres/jinjiang-wanda-imax,false,true,false,false,false,false,false
2766,Ningde Wanda & IMAX,26.654650000000,119.541010000000,"4F Wanda Plaza - 1 Tianhu Road East, Ningde, FJ, China 352100",https://imax.com/theatres/ningde-wanda-imax,false,true,false,false,false,false,false
2767,Xiamen Huli Wanda & IMAX,24.504990000000,118.177630000000,"Entertainment Building - 4F Wanda Plaza - 4666 Xianyue Road - Huli District, Xiamen, FJ, China 361006",https://imax.com/theatres/xiamen-huli-wanda-imax,true,true,false,false,false,false,false
2768,Xiamen Jimei Wanda & IMAX,24.573260000000,118.095130000000,"4F -137 Yinjiang Road - Jimei District, Xiamen, FJ, China 361000",https://imax.com/theatres/xiamen-jimei-wanda-imax,false,true,false,false,false,false,false
2769,Xiamen Jinyi Int'l & IMAX,24.478190000000,118.124620000000,"3F - C Block - Lianban Mingfa Plaza - Siming District, Xiamen, FJ, China 361004",https://imax.com/theatres/xiamen-jinyi-intl-imax,false,true,false,false,false,false,false
2770,Zhangzhou Wanda & IMAX,24.504770000000,118.176790000000,"4F Wanda Plaza - 2 Jianyuan Road East - Longwen District, Zhangzhou, FJ, China 363000",https://imax.com/theatres/zhangzhou-wanda-imax,false,true,false,false,false,false,false
2771,Jiangmen CGV Cinema & IMAX,22.611040000000,113.081610000000,"5th floor, Joyful City, No.166 Baishi Avenue, Pengjiang District, Jiangmen, China 529000",https://imax.com/theatres/jiangmen-cgv-cinema-imax,false,true,false,false,false,false,false
